create_date,category,title,experience
2005/3/10,プライベート,一浪目が決まる,高校は出たが大学には落ちた。予備校の入学手続きに行く電車で、同級生が制服のまま笑っているのを見て乗り過ごした。
2006/3/12,プライベート,二浪目,二年目も落ちた。母は何も言わなかったが、継父が「店を継ぐ気はあるか」と一度だけ聞いてきた。ないと答えたら、それきり聞かれなかった。
2007/3/14,プライベート,三浪目,三年目。同じ予備校の同じ席に座り続けた。この頃から、うまくいかない時間の過ごし方だけは人より詳しくなった。
2008/4/5,プライベート,大学入学,三浪して城南学院大学の文学部に入った。二十二歳の新入生は浮いていたが、浮いていることに慣れていたので平気だった。
2009/7/2,プライベート,バイトで貯める,居酒屋とコンビニを掛け持ちして旅費を貯めた。目的地は決めていなかったが、遠ければ遠いほどいいと思っていた。
2010/2/3,プライベート,オーストラリアへ発つ,二ヶ月の予定でオーストラリアに飛んだ。往復のチケットだけ買って、あとは何も決めなかった。
2010/2/21,プライベート,バイロンベイで流される,サーフィンで離岸流に捕まった。岸が遠ざかるのを見ながら、意外なほど静かに諦めかけた。ライフセーバーのトム・ドハティに引き上げられた。
2010/2/22,プライベート,助けられた翌日,トムは礼を言う自分に「次は流れに逆らうな、横に泳げ」とだけ言った。正面から抗うより、角度を変えろという話は今も効いている。
2010/3/18,プライベート,崖から落ちる,ブルーマウンテンズで足を滑らせて崖から落ちた。落ちている最中のことは何も覚えていない。目が覚めたのは病院だった。
2010/9/30,プライベート,半年の入院,骨盤と脚を折って半年入院した。天井しか見えない時間に、初めて自分の来歴を順番に思い出した。祖父の港の写真のことも、そこで思い出した。
2011/4/6,プライベート,留年が決まる,入院で単位を落として一年留年した。三浪一留。数え上げると笑うしかないが、遅れていることを恥じる感覚はこの頃に薄れた。
2013/4/1,仕事,日之出システムズ入社,中堅のシステム開発会社に入った。販売管理システムのSalesCubeという製品を扱う部署に配属された。
2013/8/19,仕事,初めてのバグ,自分が書いた在庫引当のロジックで、客先の月次締めを止めた。深夜の会議室で頭を下げながら、事実が人を殴る瞬間を初めて内側から見た。
2014/5/7,仕事,仕様書より現場,現場に張り付いて、伝票を手書きで二重管理している倉庫を見た。仕様書には絶対に書かれない事実がそこにあると知った。
2014/11/12,プライベート,ブログを始め、Eightを名乗る,何となく始めたブログに、客先で見た現場の話を業種を伏せて書いた。本名は出せないのでペンネームをEightにした。祖父のオチョから取った。8を回すと∞になるので、それをマークにした。
2015/6/3,プライベート,アフィリエイトで稼ぎ始める,ブログの収入が給料の半分を超えた月があった。金額より、書いたものに値段がつく事実のほうが効いた。
2015/10/22,プライベート,社会問題に手を出す,技術の話から外れて、外国人技能実習生の記事を書いた。書ける気がしなかったので、初めて自分で会いに行った。
2016/2/14,プライベート,初めての取材らしい取材,茨城の農家で三時間話を聞いた。録音を聞き返したら、自分の質問が全部誘導だった。相手の答えを先に決めていた。
2016/9/8,プライベート,質問を捨てる練習,次の取材から、用意した質問を三つに絞った。沈黙を埋めないと決めたら、相手のほうが勝手に話し始めた。
2017/3/25,プライベート,飲み屋で編集者と会う,三軒茶屋の立ち飲みで、海外誌ATLAS日本版の編集者・三宅慧と隣り合った。ブログの読者だと言われて、言葉に詰まった。
2017/5/19,仕事,会社に内緒で書き始める,ATLASに匿名で寄稿を始めた。平日は販売管理システム、週末は取材。二重生活が一番充実していたのは皮肉だ。
2018/1/26,仕事,名前を出す,初めて署名記事が出た。載った雑誌を継父の店のカウンターに置いたら、無言で一杯出された。それが返事だった。
2018/7/30,仕事,会社にバレる,上司に呼ばれた。処分の話かと思ったら「うちの現場のことは書くなよ」とだけ言われた。怒られなかったことのほうが応えた。
2019/3/29,仕事,退職,日之出システムズを辞めた。六年いた。送別会で、自分が止めた月次締めの話が語り草になっていた。
2019/4/15,仕事,フリーランスとして独立,独立した。名刺の肩書きを何にするか三日悩んで、結局ジャーナリストと刷った。名乗った瞬間から後戻りできなくなった。
2019/11/8,仕事,初めての海外取材,バングラデシュの縫製工場に入った。日本の売場に並ぶ値札の裏側が、同じ地球の同じ時間に存在していることの当たり前さに殴られた。
2020/4/2,仕事,移動できない一年,感染症で移動が止まり、収入が消えた。電話とメッセージだけで取材する方法をこの年に全部覚えた。
2021/6/17,プライベート,結婚詐欺にあう,結婚を前提に付き合っていた相手に、事業資金として貯金の大半を持っていかれた。人の話を聞く仕事をしているのに、自分の話は誰にも聞かせていなかった。
2021/9/5,プライベート,イタリアに逃げる,無一文に近い状態でナポリに行った。理由は説明できない。なぜか昔からイタリアだけは、行けばどうにかなると思っている。
2021/10/11,プライベート,マッテオと出会う,ナポリの安宿の隣室にいたマッテオ・リッツォと知り合った。以来、南イタリアの取材はだいたい彼が段取りをつけてくれる。
2022/5/23,仕事,マフィアに脅される,シチリアで廃棄物処理の取材をしていたら、宿の前で二人組に「次は無い」と言われた。翌週も同じ宿に泊まったが、二度目は来なかった。
2023/2/9,仕事,誤認逮捕,中米の空港で別人と間違われて三日間拘束された。釈放時に謝罪はなく、荷物だけ返された。制度は間違えても謝らないと身体で理解した。
2024/8/14,仕事,断った仕事,広告主の意向で結論の決まった記事の依頼を断った。金額は年間の三分の一に相当した。断れたのは、失うものが少ない生き方をしてきたからだ。
2025/6/28,プライベート,継父が倒れる,継父が店で倒れた。命に別状はなかったが、Cieloは一ヶ月閉めた。カウンターに立つ人がいなくなると、聞かれたがっている人の行き先がなくなる。
2026/3/7,仕事,四十歳になる年,四十になる。取材ノートの数だけが増えて、答えはむしろ減っている。減っていくのが正しい方向だと、最近ようやく思えるようになった。
